tBJD,HJD,fits
1703.8997336186626,2458703.899733619,2019-08-08T09:35:36.985
1704.034457488241,2458704.0344574885,2019-08-08T12:49:37.127
1704.1664035454878,2458704.1664035455,2019-08-08T15:59:37.266
1704.1705702631157,2458704.170570263,2019-08-08T16:05:37.271
1704.302516319779,2458704.30251632,2019-08-08T19:15:37.410
1704.4400179995969,2458704.4400179996,2019-08-08T22:33:37.555
1704.573352961555,2458704.5733529613,2019-08-09T01:45:37.696
1704.7094657350312,2458704.709465735,2019-08-09T05:01:37.840
1704.8428006968734,2458704.842800697,2019-08-09T08:13:37.980
1704.9789134704665,2458704.9789134706,2019-08-09T11:29:38.124
1705.113637338417,2458705.1136373384,2019-08-09T14:43:38.266
1705.2483612068336,2458705.2483612066,2019-08-09T17:57:38.408
1705.3844739817064,2458705.384473982,2019-08-09T21:13:38.552
1705.5178089456444,2458705.517808946,2019-08-10T00:25:38.693
1705.6525328163893,2458705.6525328164,2019-08-10T03:39:38.835
1705.787256688298,2458705.7872566883,2019-08-10T06:53:38.978
1705.7928123119164,2458705.792812312,2019-08-10T07:01:38.984
1705.9205916557275,2458705.9205916557,2019-08-10T10:05:39.119
1706.0553155306634,2458706.055315531,2019-08-10T13:19:39.262
1706.0580933425313,2458706.0580933425,2019-08-10T13:23:39.265
1706.1928172193288,2458706.1928172195,2019-08-10T16:37:39.408
1706.3289300042152,2458706.328930004,2019-08-10T19:53:39.552
1706.4608760736867,2458706.4608760737,2019-08-10T23:03:39.693
1706.5983777699184,2458706.59837777,2019-08-11T02:21:39.839
1706.7289349389866,2458706.728934939,2019-08-11T05:29:39.979
1706.7331016571945,2458706.733101657,2019-08-11T05:35:39.983
1706.8650477358638,2458706.865047736,2019-08-11T08:45:40.124
1706.9997716303574,2458706.9997716304,2019-08-11T11:59:40.269
1707.1358844354995,2458707.1358844354,2019-08-11T15:15:40.415
1707.2706083393073,2458707.2706083395,2019-08-11T18:29:40.561
1707.4053322483535,2458707.405332248,2019-08-11T21:43:40.706
1707.5400561633364,2458707.5400561634,2019-08-12T00:57:40.853
1707.6761689911805,2458707.6761689913,2019-08-12T04:13:41.001
1707.8095040134422,2458707.8095040135,2019-08-12T07:25:41.147
1707.944227950079,2458707.94422795,2019-08-12T10:39:41.295
1708.0803408023703,2458708.080340802,2019-08-12T13:55:41.445
1708.2150647577491,2458708.215064758,2019-08-12T17:09:41.595
1708.349788723839,2458708.349788724,2019-08-12T20:23:41.746
1708.4831237949966,2458708.483123795,2019-08-12T23:35:41.896
1708.6192366936211,2458708.6192366937,2019-08-13T02:51:42.050
1708.7539606999908,2458708.7539607,2019-08-13T06:05:42.204
1708.8872958152706,2458708.887295815,2019-08-13T09:17:42.358
1708.8900736303972,2458708.8900736305,2019-08-13T09:21:42.362
1709.0234087640702,2458709.023408764,2019-08-13T12:33:42.517
1709.160910641796,2458709.160910642,2019-08-13T15:51:42.679
1709.292856910688,2458709.2928569107,2019-08-13T19:01:42.837
1709.427581021133,2458709.427581021,2019-08-13T22:15:43.000
1709.5623051601,2458709.5623051603,2019-08-14T01:29:43.166
1709.6984182399842,2458709.69841824,2019-08-14T04:45:43.336
1709.8345313550253,2458709.834531355,2019-08-14T08:01:43.509
1709.9678666875348,2458709.9678666876,2019-08-14T11:13:43.682
1710.1039798756856,2458710.103979876,2019-08-14T14:29:43.861
1710.1095355167668,2458710.1095355167,2019-08-14T14:37:43.869
