tBJD,HJD,fits,dMag
1831.346942705919,2458831.346942706,2019-12-13T20:19:35.850,1.1561181595296024
1831.3886087888536,2458831.388608789,2019-12-13T21:19:35.799,1.1493898134002354
1831.4274971296363,2458831.4274971294,2019-12-13T22:15:35.752,1.1488247037650983
1831.4649965984113,2458831.464996598,2019-12-13T23:09:35.706,1.1662757742811398
1831.5052738028198,2458831.5052738027,2019-12-14T00:07:35.657,1.146325359294403
1831.5441621347545,2458831.5441621346,2019-12-14T01:03:35.608,1.1664748426307923
1831.5830504638952,2458831.583050464,2019-12-14T01:59:35.560,1.1600323851726042
1831.6219387902424,2458831.62193879,2019-12-14T02:55:35.511,1.16915580974587
1831.6594382450476,2458831.659438245,2019-12-14T03:49:35.464,1.1513024102323546
1831.6997154340893,2458831.699715434,2019-12-14T04:47:35.414,1.1687322402065476
1831.7399926203366,2458831.7399926204,2019-12-14T05:45:35.362,1.1539003413637927
1831.7802698037906,2458831.780269804,2019-12-14T06:43:35.311,1.1532827862112358
1831.8177692474192,2458831.8177692476,2019-12-14T07:37:35.263,1.153473120538663
1831.856657557002,2458831.856657557,2019-12-14T08:33:35.213,1.1612142339125286
1831.8955458633259,2458831.8955458635,2019-12-14T09:29:35.163,1.1613106210545607
1831.9344341673213,2458831.934434167,2019-12-14T10:25:35.112,1.1663286592366153
1831.974711335874,2458831.9747113357,2019-12-14T11:23:35.059,1.1476954217604518
1832.0135996342817,2458832.013599634,2019-12-14T12:19:35.008,1.1393148141084546
1832.0524879298955,2458832.05248793,2019-12-14T13:15:34.957,1.1477745887571
1832.2080410844087,2458832.2080410845,2019-12-14T16:59:34.750,1.1427635625198844
1832.2469293665183,2458832.2469293666,2019-12-14T17:55:34.697,1.1379914808608877
1832.287206513185,2458832.2872065133,2019-12-14T18:53:34.643,1.1473775086503468
1832.3260947897065,2458832.32609479,2019-12-14T19:49:34.590,1.170355065367911
1832.3649830638997,2458832.364983064,2019-12-14T20:45:34.537,1.1740078408345536
1832.4038713352988,2458832.403871335,2019-12-14T21:41:34.483,1.1731414117043777
1832.4427596039036,2458832.4427596037,2019-12-14T22:37:34.430,1.165293465738759
1832.4830367366003,2458832.4830367365,2019-12-14T23:35:34.374,1.161958546690515
1832.5219250000828,2458832.521925,2019-12-15T00:31:34.320,1.1529813763537564
1832.559424394352,2458832.5594243943,2019-12-15T01:25:34.268,1.1786173414584762
1832.5983126527126,2458832.5983126527,2019-12-15T02:21:34.213,1.157736278130638
1832.6399786411184,2458832.639978641,2019-12-15T03:21:34.155,1.1400343342709176
1832.6788668938914,2458832.678866894,2019-12-15T04:17:34.100,1.13660915374992
1832.7177551443351,2458832.7177551445,2019-12-15T05:13:34.044,1.131573417129444
1832.8330310148133,2458832.833031015,2019-12-15T07:59:33.880,1.138407782531097
1832.8746969864553,2458832.8746969863,2019-12-15T08:59:33.820,1.1627359427091797
1832.9121963583734,2458832.912196358,2019-12-15T09:53:33.765,1.1612198975231172
1832.9899728261998,2458832.989972826,2019-12-15T11:45:33.652,1.1354783504587385
1833.0288610566201,2458833.0288610565,2019-12-15T12:41:33.595,1.1388253347393134
1833.0691381492702,2458833.0691381493,2019-12-15T13:39:33.536,1.1413025767513492
1833.105248644058,2458833.105248644,2019-12-15T14:31:33.483,1.1589304701188368
1833.1441368670287,2458833.144136867,2019-12-15T15:27:33.425,1.1525591915865327
1833.1830250872044,2458833.183025087,2019-12-15T16:23:33.368,1.1578141593034887
1833.224691034632,2458833.2246910348,2019-12-15T17:23:33.305,1.168492882240748
1833.263579250152,2458833.2635792503,2019-12-15T18:19:33.247,1.1701469734239638
1833.3024674624123,2458833.3024674626,2019-12-15T19:15:33.189,1.165925663633866
1833.3427445373673,2458833.342744537,2019-12-15T20:13:33.128,1.148156508975162
1833.3802438804137,2458833.38024388,2019-12-15T21:07:33.071,1.1385939108558472
1833.4191320861546,2458833.419132086,2019-12-15T22:03:33.012,1.1492304649973353
1833.4594091531926,2458833.459409153,2019-12-15T23:01:32.951,1.1719905358082716
1833.4982973533456,2458833.4982973533,2019-12-15T23:57:32.891,1.1558988369574517
1833.537185551636,2458833.5371855516,2019-12-16T00:53:32.832,1.1449852526175521
1833.5760737471319,2458833.576073747,2019-12-16T01:49:32.772,1.158847584652955
1833.653850130674,2458833.6538501307,2019-12-16T03:41:32.651,1.1337782221505615
1833.6927383187199,2458833.692738319,2019-12-16T04:37:32.591,1.1601272509643228
1833.7316265049033,2458833.731626505,2019-12-16T05:33:32.530,1.1469538080056019
1833.7719035519185,2458833.771903552,2019-12-16T06:31:32.467,1.1460074590992637
1833.8094028693527,2458833.8094028695,2019-12-16T07:25:32.408,1.1602009256606096
