tBJD,HJD,fits
1823.4900703483622,2458823.490070348,2019-12-05T23:45:42.078
1823.5303478964274,2458823.5303478963,2019-12-06T00:43:42.058
1823.5678476804544,2458823.5678476803,2019-12-06T01:37:42.040
1823.6081252238632,2458823.608125224,2019-12-06T02:35:42.019
1823.6456250032334,2458823.645625003,2019-12-06T03:29:42.000
1823.6859025419858,2458823.685902542,2019-12-06T04:27:41.980
1823.7261800779445,2458823.726180078,2019-12-06T05:25:41.959
1823.763679850795,2458823.763679851,2019-12-06T06:19:41.939
1823.802568502173,2458823.8025685023,2019-12-06T07:15:41.919
1823.842846031612,2458823.8428460318,2019-12-06T08:13:41.897
1823.880345797943,2458823.880345798,2019-12-06T09:07:41.877
1823.9581230844014,2458823.9581230846,2019-12-06T10:59:41.835
1823.998400604527,2458823.9984006044,2019-12-06T11:57:41.812
1824.0372892424011,2458824.0372892423,2019-12-06T12:53:41.791
1824.077566757405,2458824.0775667573,2019-12-06T13:51:41.768
1824.1150665111634,2458824.115066511,2019-12-06T14:45:41.747
1824.1525662625934,2458824.1525662625,2019-12-06T15:39:41.725
1824.1928437706133,2458824.1928437706,2019-12-06T16:37:41.702
1824.2317323973107,2458824.2317323973,2019-12-06T17:33:41.679
1824.2706210216797,2458824.2706210217,2019-12-06T18:29:41.656
1824.3095096437214,2458824.309509644,2019-12-06T19:25:41.633
1824.3511760223514,2458824.3511760226,2019-12-06T20:25:41.608
1824.3872868817502,2458824.387286882,2019-12-06T21:17:41.587
1824.4275643762658,2458824.427564376,2019-12-06T22:15:41.562
1824.4678418684516,2458824.4678418683,2019-12-06T23:13:41.537
1824.5053416003248,2458824.5053416,2019-12-07T00:07:41.514
1824.5831188160018,2458824.583118816,2019-12-07T01:59:41.466
1824.622007420348,2458824.6220074203,2019-12-07T02:55:41.441
1824.6622849013581,2458824.6622849014,2019-12-07T03:53:41.415
1824.7011735010474,2458824.701173501,2019-12-07T04:49:41.390
1824.7414509774014,2458824.7414509775,2019-12-07T05:47:41.364
1824.7775618163123,2458824.7775618164,2019-12-07T06:39:41.341
1824.8178392880086,2458824.817839288,2019-12-07T07:37:41.314
1824.858116757378,2458824.8581167576,2019-12-07T08:35:41.288
1824.895616468296,2458824.8956164685,2019-12-07T09:29:41.263
1824.9358939334738,2458824.9358939333,2019-12-07T10:27:41.236
1824.9747825182624,2458824.974782518,2019-12-07T11:23:41.210
1825.0136711007221,2458825.0136711006,2019-12-07T12:19:41.183
1825.0525596813204,2458825.0525596812,2019-12-07T13:15:41.156
1825.0928371371842,2458825.092837137,2019-12-07T14:13:41.129
1825.131725713126,2458825.131725713,2019-12-07T15:09:41.102
1825.1706142872035,2458825.1706142873,2019-12-07T16:05:41.074
1825.2095028589538,2458825.209502859,2019-12-07T17:01:41.047
1825.249780305971,2458825.249780306,2019-12-07T17:59:41.018
1825.2872799959337,2458825.287279996,2019-12-07T18:53:40.992
1825.3275574382956,2458825.3275574385,2019-12-07T19:51:40.963
1825.366446001663,2458825.3664460015,2019-12-07T20:47:40.935
1825.4053345627028,2458825.4053345625,2019-12-07T21:43:40.906
1825.4442231214143,2458825.4442231213,2019-12-07T22:39:40.878
1825.484500555394,2458825.4845005553,2019-12-07T23:37:40.848
1825.5220002332496,2458825.522000233,2019-12-08T00:31:40.820
1825.560888785907,2458825.560888786,2019-12-08T01:27:40.791
1825.5997773362365,2458825.599777336,2019-12-08T02:23:40.762
1825.640054761368,2458825.6400547614,2019-12-08T03:21:40.731
1825.678943307973,2458825.678943308,2019-12-08T04:17:40.702
1825.7192207289131,2458825.719220729,2019-12-08T05:15:40.671
1825.7581092708606,2458825.758109271,2019-12-08T06:11:40.641
1825.7956089347472,2458825.795608935,2019-12-08T07:05:40.612
1825.834497472969,2458825.8344974727,2019-12-08T08:01:40.582
1825.874774885062,2458825.874774885,2019-12-08T08:59:40.550
1825.9136634190934,2458825.913663419,2019-12-08T09:55:40.519
1825.9539408274604,2458825.9539408274,2019-12-08T10:53:40.487
1825.9942182334996,2458825.9942182335,2019-12-08T11:51:40.455
1826.0317178852788,2458826.0317178853,2019-12-08T12:45:40.425
1826.0706064113942,2458826.0706064114,2019-12-08T13:41:40.394
1826.109494935181,2458826.1094949353,2019-12-08T14:37:40.362
1826.146994581838,2458826.146994582,2019-12-08T15:31:40.332
1826.1511612090371,2458826.151161209,2019-12-08T15:37:40.328
1826.188660853365,2458826.1886608535,2019-12-08T16:31:40.298
1826.2289382472982,2458826.228938247,2019-12-08T17:29:40.265
1826.2664378879008,2458826.2664378877,2019-12-08T18:23:40.233
1826.3053264019086,2458826.3053264017,2019-12-08T19:19:40.201
1826.3442149145199,2458826.3442149144,2019-12-08T20:15:40.169
1826.3844923005358,2458826.3844923005,2019-12-08T21:13:40.135
1826.4206030588866,2458826.4206030588,2019-12-08T22:05:40.104
1826.45949156591,2458826.459491566,2019-12-08T23:01:40.071
1826.499768946338,2458826.4997689463,2019-12-08T23:59:40.037
1826.5386574496351,2458826.5386574497,2019-12-09T00:55:40.004
1826.5789348263384,2458826.5789348264,2019-12-09T01:53:39.969
1826.617823325911,2458826.617823326,2019-12-09T02:49:39.935
1826.6567118240866,2458826.6567118242,2019-12-09T03:45:39.902
1826.6942114460628,2458826.694211446,2019-12-09T04:39:39.869
1826.7330999409787,2458826.733099941,2019-12-09T05:35:39.835
1826.773377308834,2458826.7733773086,2019-12-09T06:33:39.799
1826.8122658004909,2458826.8122658003,2019-12-09T07:29:39.765
1826.8525431650864,2458826.852543165,2019-12-09T08:27:39.729
1826.890042779147,2458826.890042779,2019-12-09T09:21:39.696
1826.928931266612,2458826.9289312665,2019-12-09T10:17:39.661
1827.008097111223,2458827.0080971112,2019-12-09T12:11:39.590
1827.0872629507107,2458827.087262951,2019-12-09T14:05:39.519
1827.126151431657,2458827.126151432,2019-12-09T15:01:39.484
1827.1650399112061,2458827.1650399114,2019-12-09T15:57:39.448
1827.203928389824,2458827.20392839,2019-12-09T16:53:39.413
1827.241427993175,2458827.2414279934,2019-12-09T17:47:39.379
1827.2442057418457,2458827.2442057417,2019-12-09T17:51:39.376
